QUARTER,BANK,Purchase Sales (in Bn),Purchase Sales Industry Share (%),Balances (in Bn),Balances Industry Share (%),Cards in Force (in Bn),CIF Industry Share (%),Sales / CIF ('000),Balances / CIF ('000)
4Q25,BDO,188.626,0.243367348,274.401,0.22802125,3.896,0.223792291,48.5,70.43146817
4Q25,BPI,151.608,0.195606315,238.592,0.198264751,3.146,0.180711126,48.6,75.83979657
4Q25,MB,107.198,0.138308043,181.345,0.150693742,1.845,0.105979666,59,98.2899729
4Q25,RCBC,66.233,0.085454548,145.797,0.121154129,1.491,0.085645356,45.1,97.78470825
4Q25,SECBANK,34.823,0.044929019,62.769,0.052159671,0.642,0.036877477,53,97.77102804
4Q25,UB,114.584,0.147837542,131.652,0.109399942,2.044,0.117410535,57,64.40900196
4Q24,BDO,154.943,0.241434116,205.626,0.219767606,3.768,0.245807043,40.3,54.57165605
4Q24,BPI,123.948,0.193137321,180.948,0.193392415,2.957,0.192901121,42.5,61.19310112
4Q24,MB,93.071,0.145024394,156.065,0.166798126,1.62,0.105681372,57.7,96.33641975
4Q24,RCBC,57.161,0.089068984,110.453,0.118049232,1.26,0.082196623,46.3,87.66111111
4Q24,SECBANK,36.307,0.056574021,53.03,0.056677055,0.721,0.047034734,52.8,73.55062413
4Q24,UB,91.296,0.142258567,109.218,0.116729297,1.862097,0.12147467,49.5,58.65322805
4Q23,BDO,130.282,0.245506485,155.677,0.215027442,3.504,0.262826283,37.8,44.42836758
4Q23,BPI,100.846,0.19003659,137.889,0.190457929,2.445,0.183393339,41.9,56.39631902
4Q23,MB,79.083,0.149025877,131.75,0.181978491,1.507,0.113036304,52.9,87.42534837
4Q23,RCBC,42.554,0.080189765,74.667,0.103133116,1.042,0.078157816,41.4,71.65738964
4Q23,SECBANK,25.233,0.047549663,33.143,0.045778468,0.508,0.03810381,51.1,65.24212598
4Q23,UB,84.629,0.159476891,96.54866073,0.133356961,1.524,0.114311431,56.3,63.35213958
3Q25,BDO,168.787,0.243863923,247.722,0.225275135,3.881,0.230094267,44.5,63.82942541
3Q25,BPI,134.092,0.193736491,217.585,0.197868943,3.089,0.183138673,43.8,70.43865329
3Q25,MB,95.877,0.138523354,170.136,0.154719445,1.789,0.106065098,54.7,95.10117384
3Q25,RCBC,60.533,0.087458245,135.616,0.12332741,1.449,0.085907393,42.5,93.59282264
3Q25,SECBANK,32.202,0.046525538,58.257,0.052978151,0.671,0.039781822,47.1,86.82116244
3Q25,UB,99.282,0.143442907,119.466,0.108640812,1.98,0.117388984,50.9,60.33636364
3Q24,BDO,132.237,0.23502658,181.319,0.214042705,3.926,0.260478608,33.9,46.1841569
3Q24,BPI,111.131,0.197514605,166.613,0.196682627,2.875,0.190747834,39.3,57.95234783
3Q24,MB,81.4,0.144673303,144.254,0.170288367,1.606,0.106553399,51.1,89.82191781
3Q24,RCBC,52.215,0.092802414,98.403,0.116162367,1.207,0.080080917,44.6,81.52692626
3Q24,SECBANK,27.427,0.048746372,46.101,0.054421118,0.654,0.043390986,43.8,70.49082569
3Q24,UB,85.024,0.151114287,102.564,0.121074327,1.823255,0.120967632,48.3,56.2532394
3Q23,BDO,113.429,0.242117311,140.038,0.212049897,3.391,0.262273872,35.4,41.29696255
3Q23,BPI,88.575,0.189065767,125.149,0.18950451,2.371,0.183382881,38.2,52.78321383
3Q23,MB,72.917,0.155643336,123.893,0.187602636,1.482,0.114623969,49.7,83.59851552
3Q23,RCBC,35.766,0.076343508,65.318,0.098906548,1.014,0.078426926,35.8,64.41617357
3Q23,SECBANK,19.431,0.041476002,28.259,0.042790657,0.47967,0.037099649,42.5,58.91341964
3Q23,UB,77.916,0.166313839,91.17540908,0.138060642,1.480563,0.114512825,53.5,61.58158017
2Q26,UB,117.09,15%,140.92,11%,2.1,12%,55.9,67
2Q26,BDO,189.23,24%,305.77,23%,3.98,22%,48.1,76.8
2Q26,BPI,149.15,19%,261.7,20%,3.21,18%,46.7,81.5
2Q26,MB,105.63,14%,189.9,15%,1.96,11%,54.9,96.9
2Q26,RCBC,67.3,9%,157.14,12%,1.57,9%,43.5,99.9
2Q26,SECBANK,29.62,4%,61.37,5%,0.6,3%,48.6,102.6
2Q25,BDO,168.635,0.252130554,234.66,0.225057041,3.7,0.227608268,46.6,63.42162162
2Q25,BPI,127.604,0.190784044,203.095,0.194783771,3.038,0.186884843,42.4,66.85154707
2Q25,MB,90.521,0.135340291,162.465,0.155816467,1.716,0.105561024,53.5,94.67657343
2Q25,RCBC,61.578,0.092066862,128.443,0.123186745,1.401,0.086183563,45.2,91.67951463
2Q25,SECBANK,33.149,0.049561928,58.257,0.055872957,0.695,0.042753445,47.3,83.82302158
2Q25,UB,98.208,0.146833323,115.066,0.11035717,1.918,0.117987205,51.8,59.99270073
2Q24,BDO,131.366,0.245214833,172.237,0.215976576,3.876,0.267144531,34.3,44.43679051
2Q24,BPI,106.923,0.199588216,157.512,0.197512163,2.784,0.191880902,39.1,56.57758621
2Q24,MB,80.457,0.150185359,139.738,0.175224457,1.579,0.108829003,51.6,88.49778341
2Q24,RCBC,44.958,0.083921018,88.92,0.111501229,1.133,0.078089462,40.6,78.48190644
2Q24,SECBANK,28.417,0.053044699,40.073,0.050249536,0.599,0.04128472,49.6,66.89983306
2Q24,UB,74.402,0.13888277,97.559,0.122334102,1.696,0.116892963,45.3,57.52299528
2Q23,BDO,109.499,0.247065088,133.375,0.214909788,3.01,0.246680872,37.6,44.31063123
2Q23,BPI,85.58,0.193096104,116.643,0.187949184,2.269,0.185953122,38.8,51.40722785
2Q23,MB,66.723,0.150548625,115.418,0.185975317,1.452,0.118996886,46.4,79.48898072
2Q23,RCBC,31.681,0.071482562,58.061,0.093554843,0.984,0.080642518,32.4,59.0050813
2Q23,SECBANK,16.547,0.037335373,25.878,0.041697736,0.435,0.035649893,42.4,59.48965517
2Q23,UB,76.622,0.172883964,87.12323973,0.140383407,1.432,0.11735781,53.7,60.84025121
1Q26,UB,113.99,15%,134.45,11%,2.08,12%,55.3,64.6
1Q26,BDO,176.47,24%,284.76,23%,3.89,22%,45.3,73.2
1Q26,BPI,152.04,20%,249.55,20%,3.18,18%,48.1,78.5
1Q26,MB,100.26,13%,182.89,15%,1.89,11%,53.7,96.7
1Q26,RCBC,66.13,9%,149.94,12%,1.52,9%,43.9,98.5
1Q26,SECBANK,30.85,4%,62.35,5%,0.62,4%,48.8,100.2
1Q25,BDO,146.919,0.237576163,211.455,0.219826202,3.531,0.228425411,40.3,59.88530161
1Q25,BPI,118.11,0.190990414,187.334,0.194750286,2.987,0.193233277,39.7,62.7164379
1Q25,MB,85.604,0.138426411,156.432,0.16262492,1.667,0.1078406,52.1,93.84043191
1Q25,RCBC,59.056,0.095496824,116.98,0.121611071,1.326,0.085780825,45.7,88.22021116
1Q25,SECBANK,32.641,0.052782306,55.527,0.057725235,0.707,0.045736835,45.7,78.53889675
1Q25,UB,94.479,0.152777778,109.636,0.113976333,1.874,0.121231725,50.6,58.50373533
1Q24,BDO,110.995,0.226214787,156.915,0.210342669,3.778,0.270921477,30.5,41.53388036
1Q24,BPI,96.149,0.195957706,144.044,0.193089248,2.686,0.19261384,37.5,53.62769918
1Q24,MB,76.79,0.156502847,135.293,0.181358638,1.542,0.110577268,50.4,87.7386511
1Q24,RCBC,41.649,0.08488328,81.267,0.108937435,1.083,0.077662245,39.2,75.03878116
1Q24,SECBANK,23.251,0.047387,35.238,0.047236115,0.547,0.039225529,44.1,64.42047532
1Q24,UB,78.91,0.16082354,98.071,0.131462995,1.591,0.114091072,50.7,61.64110622
1Q23,BDO,100.862,0.245550908,123.805,0.21553931,2.821,0.23969751,36.6,43.88691953
1Q23,BPI,76.721,0.186779077,105.342,0.183396001,2.148,0.182513383,37.3,49.04189944
1Q23,MB,61.54,0.149820576,107.897,0.187844149,1.421,0.12074093,43.7,75.93033075
1Q23,RCBC,29.38,0.0715263,52.342,0.091125225,0.969,0.082334948,30.6,54.01651187
1Q23,SECBANK,15.243,0.037109442,24.367,0.042421924,0.346415,0.029434531,41.5,70.34048757
1Q23,UB,71.794,0.174784179,81.70738391,0.142249127,1.419585,0.120620698,51.4,57.55723251
,,,,,,,,,
,,,,,,,,,
